종목코드,회사명
069140,누리플랜
126870,뉴로스
060260,뉴보텍
012340,뉴인텍
222040,뉴트리바이오텍
900100,뉴프라이드
085670,뉴프렉스
053290,능률교육
222810,닉스테크
119860,다나와
064260,다날
093640,다믈멀티미디어
015150,다산
039560,다산네트웍스
023590,다우기술
032190,다우데이타
020120,다우인큐브
068240,다원시스
015590,대경기계
019680,대교
019685,대교우B
006370,대구백화점
004130,대덕GDS
004135,대덕GDS우
008060,대덕전자
000490,대동공업
020400,대동금속
008830,대동기어
048470,대동스틸
008110,대동전자
004780,대륙제관
005750,대림B&Co
000210,대림산업
000215,대림산업우
004440,대림씨엔에스
017650,대림제지
006570,대림통상
007720,대명코퍼레이션
026970,대백저축은행
078140,대봉엘에스
001680,대상
001689,대상3우B
001685,대상우
084690,대상홀딩스
084695,대상홀딩스우
036480,대성미생물
128820,대성산업
117580,대성에너지
025440,대성엘텍
027830,대성창투
104040,대성파인텍
005620,대성합동지주
016710,대성홀딩스
217270,대신밸런스제1호스
232140,대신밸런스제2호스
020180,대신정보통신
003540,대신증권
003547,대신증권2우B
003545,대신증권우
045390,대아티아이
009190,대양금속
108380,대양전기공업
006580,대양제지
014160,대영포장
215480,대우SBI스팩1호
047040,대우건설
009320,대우부품
140320,대우산업개발
204440,대우스팩2호
215580,대우스팩3호
042660,대우조선해양
003090,대웅
069620,대웅제약
000430,대원강업
048910,대원미디어
005710,대원산업
006340,대원전선
006345,대원전선우
003220,대원제약
024890,대원화성
002880,대유에이텍
071460,대유위니아
000300,대유플러스
120240,대정화금
003310,대주산업
078600,대주전자재료
008340,대주코레스
065690,대진디엠피
012800,대창
015230,대창단조
096350,대창솔루션
140520,대창스틸
131220,대한과학
010170,대한광통신
054670,대한뉴팜
041500,대한바이오
001070,대한방직
023910,대한약품
006650,대한유화
001440,대한전선
084010,대한제강
001790,대한제당
001799,대한제당3우B
001795,대한제당우
001130,대한제분
003490,대한항공
003495,대한항공우
005880,대한해운
003830,대한화섬
016090,대현
069460,대호에이엘
021040,대호피앤씨
021045,대호피앤씨우
067080,대화제약
192080,더블유게임즈
072700,더존다스
012510,더존비즈온
213420,덕산네오룩스
077360,덕산하이메탈
004830,덕성
004835,덕성우
090410,덕신하우징
024900,덕양산업
194480,데브시스터즈
017680,데코앤이
206560,덱스터
008000,도레이케미칼
067990,도이치모터스
002150,도화엔지니어링
100130,동국S&C
005160,동국산업
001620,동국실업
075970,동국알앤에스
001230,동국제강
086450,동국제약
023450,동남합성
004140,동방
099410,동방선기
007590,동방아그로
012030,동부
005960,#동부건설
005965,#동부건설우
045890,동부라이텍
101910,동부메탈
226440,동부스팩3호
230490,동부제4호스팩
016380,#동부제철
016385,#동부제철우
016610,동부증권
000990,동부하이텍
000995,동부하이텍1우
005830,동부화재
083350,동북아10호
083360,동북아11호
083370,동북아12호
083380,동북아13호
083390,동북아14호
026960,동서
002210,동성제약
102260,동성코퍼레이션
033500,동성화인텍
005190,동성화학
025950,동신건설
012760,동아
000640,동아쏘시오홀딩스
058730,동아에스텍
170900,동아에스티
088130,동아엘텍
028100,동아지질
007340,동아타이어
041930,동아화성
001520,동양
001527,동양2우B
001529,동양3우B
005900,동양건설산업
084670,동양고속
030790,동양네트웍스
002900,동양물산
082640,동양생명
038500,동양시멘트
060380,동양에스텍
001525,동양우
079960,동양이엔피
008970,동양철관
228340,동양파일
104460,동양피엔에프
088910,동우
094170,동운아나텍
003580,동원
049770,동원F&B
013120,동원개발
018500,동원금속
006040,동원산업
030720,동원수산
014820,동원시스템즈
014825,동원시스템즈우
163560,동일고무벨트
109860,동일금속
032960,동일기연
001530,동일방직
004890,동일산업
002690,동일제강
023790,#동일철강
026710,동진건설
005290,동진쎄미켐
025900,동화기업
000020,동화약품
184560,동화엠파크홀
000150,두산
000157,두산2우B
011160,두산건설
082740,두산엔진
000155,두산우
042670,두산인프라코어
034020,두산중공업
016740,두올
078590,두올산업
013900,두원중공업
030350,드래곤플라이
035430,드림라인
043500,드림텍
046400,디브이에스코리아
073190,디비케이
066670,디스플레이텍
024090,디씨엠
003160,디아이
092200,디아이씨
109740,디에스케이
090710,디에스티로봇
131030,디에이치피코리아
196490,디에이테크놀로지
066900,디에이피
127120,디엔에이링크
092070,디엔에프
101000,디엠씨
134580,디엠티
039840,디오
013570,디와이
210540,디와이파워
079810,디이엔티
113810,디젠스
043360,디지아이
106520,디지탈옵틱
068930,디지털대성
033130,디지틀조선
033310,디케이디앤아이
105740,디케이락
187220,디티앤씨
026890,디피씨
131180,딜리
042510,라온시큐어
050120,라이브플렉스
171120,라이온켐텍
115390,락앤락
171010,램테크놀러지
084650,랩지노믹스
141080,레고켐바이오
060300,레드로버
038390,레드캡투어
228850,레이언스
047440,레이젠
090360,로보스타
900260,로스웰
016170,로엔
067730,로지시스
071280,로체시스템즈
109960,로코조이
032350,롯데관광개발
000400,롯데손해보험
023530,롯데쇼핑
004000,롯데정밀화학
004990,롯데제과
005300,롯데칠성
005305,롯데칠성우
011170,롯데케미칼
002270,롯데푸드
071840,롯데하이마트
038060,루멘스
082800,루미마이크로
085370,루트로닉
060240,룽투코리아
042940,르네코
058470,리노공업
039980,리노스
016100,리더스코스메틱
197210,리드
012700,리드코프
038340,#리젠
131100,리켐
042500,링네트
027740,마니커
137930,마이다스 커버드콜
050480,마이다스IT
098120,마이크로컨텍솔
159800,마이티 K100
211210,마이티 코스피고배당
035480,마제스타
038290,마크로젠
204320,만도
001080,만호제강
078060,매일방송
005990,매일유업
127160,매직마이크로
093520,매커스
141070,맥스로텍
088980,맥쿼리인프라
094800,맵스리얼티1
067280,멀티캠퍼스
072870,메가스터디
215200,메가스터디교육
133750,메가엠디
041920,메디아나
086900,메디톡스
078160,메디포스트
065650,메디프론
138040,메리츠금융지주
008560,메리츠종금증권
000060,메리츠화재
021880,메이슨캐피탈
140410,메지온
059210,메타바이오메드
058110,멕아이씨에스
096640,멜파스
017180,명문제약
115400,명보기업
012690,모나리자
005360,모나미
080420,모다이노칩
149940,모다정보통신
227680,모두웨어
080160,모두투어
204210,모두투어리츠
100030,모바일리더
101330,모베이스
051810,모보
130480,모아정보기술
033200,모아텍
009680,모토닉
006920,모헨즈
009580,무림P&P
001810,무림SP
009200,무림페이퍼
033920,무학
008420,문배철강
065310,미니멈컬렉션
161570,미동앤씨네마
080640,미라콤아이앤씨
095500,미래나노텍
025560,미래산업
007120,미래아이앤지
006800,미래에셋대우
006805,미래에셋대우우
085620,미래에셋생명
215750,미래에셋제3호스팩
239340,미래에셋제5호스팩
037620,미래에셋증권
049950,미래컴퍼니
213090,미래테크놀로지
207760,미스터블루
002840,미원상사
107590,미원에스씨
134380,미원화학
003650,미창석유
059090,미코
201490,미투온
214180,민앤지
155900,바다로19호
206640,바디텍메드
018700,바른손
035620,바른손이앤에이
064520,바른전자
029480,바른테크놀로지
053030,바이넥스
084990,바이로메드
064550,바이오니아
208710,바이오로그디바이스
142760,바이오리더스
038460,바이오스마트
086040,바이오톡스텍
032980,바이온
043150,바텍
003610,방림
001340,백광산업
014580,백광소재
046310,백금T&A
035150,백산
036620,버추얼텍
104200,벅스
002410,범양건영
002480,범양사
177350,베셀
096300,베트남개발1
007210,벽산
225530,*보광산업
002760,보락
014100,보령메디앙스
003850,보령제약
004740,보루네오
015370,보성
006910,보성파워텍
030950,보진재
026260,보타바이오
000890,보해양조
003000,부광약품
001270,부국증권
001275,부국증권우
026940,부국철강
014470,부방
015350,부산가스
011390,부산산업
005030,부산주공
008470,부스타
100120,뷰웍스
064480,브리지텍
033560,블루콤
100220,비상교육
200780,비씨월드제약
141000,비아트론
090460,비에이치
083650,비에이치아이
086670,비엠티
082920,비츠로셀
054220,비츠로시스
042370,비츠로테크
066870,비트로시스
032850,비트컴퓨터
093190,빅솔론
065450,빅텍
005180,빙그레
069540,빛과전자
072950,빛샘전자
143240,사람인에이치알
003960,사조대림
008040,사조동아원
007160,사조산업
014710,사조씨푸드
006090,사조오양
079660,사조해표
123260,사파이어테크놀로지
168570,산타크루즈
100090,삼강엠앤티
005090,삼광글라스
122350,삼기오토모티브
014970,삼륭물산
005610,삼립식품
018310,삼목에스폼
002580,삼미
053700,삼보모터스
009620,삼보산업
070080,삼보오토
011870,삼보이엔씨
161990,삼보컴퓨터
023600,삼보판지
111870,삼본정밀전자
001470,#삼부토건
006400,삼성SDI
006405,삼성SDI우
006660,삼성공조
018360,삼성메디슨
028260,삼성물산
02826K,삼성물산우B
032830,삼성생명
018260,삼성에스디에스
028050,삼성엔지니어링
009150,삼성전기
009155,삼성전기우
005930,삼성전자
005935,삼성전자우
001360,삼성제약
010140,삼성중공업
010145,삼성중공우
016360,삼성증권
068290,삼성출판사
029780,삼성카드
000810,삼성화재
000815,삼성화재우
006110,삼아알미늄
009300,삼아제약
145990,삼양사
145995,삼양사우
003230,삼양식품
002170,삼양통상
000070,삼양홀딩스
000075,삼양홀딩스우
002810,삼영무역
054540,삼영엠텍
065570,삼영이엔씨
005680,삼영전자
003720,삼영화학
082660,삼우엠스
023000,삼원강재
073640,삼원테크
004380,삼익THK
002450,삼익악기
032280,삼일
002290,삼일기업공사
000520,삼일제약
009770,삼정펄프
066190,삼중테크
037460,*삼지전자
032750,삼진
054090,삼진엘앤디
005500,삼진제약
000250,삼천당제약
004690,삼천리
024950,삼천리자전거
017480,삼현철강
001880,삼호
010960,삼호개발
046390,삼화네트웍스
004450,삼화왕관
009470,삼화전기
011230,삼화전자
001820,삼화콘덴서
000390,삼화페인트
027580,상보
041650,상신브레이크
091580,상신이디피
089980,상아프론테크
042600,새로닉스
075180,새론오토모티브
007540,샘표
248170,샘표식품
003260,서광
038070,서린바이오
006730,서부T&D
079650,서산
100660,서암기계공업
007860,서연
200880,서연이화
012860,서연전자
019770,서연탑메탈
017390,서울가스
043710,서울리거
046890,서울반도체
004410,서울식품
004415,서울식품우
063170,서울옥션
027040,서울전자통신
018680,서울제약
021050,서원
093920,서원인텍
189860,서전기전
122690,서진오토모티브
011370,서한
065710,서호전기
033790,서화정보통신
008490,서흥
035890,서희건설
003100,선광
123420,선데이토즈
007610,선도전기
136490,선진
002820,선창산업
014620,성광벤드
037350,성도이엔지
014910,성문전자
014915,*성문전자우
003080,성보화학
004980,성신양회
004987,성신양회2우B
004989,성신양회3우B
004985,성신양회우
011300,성안
081580,성우전자
045300,성우테크론
015750,성우하이텍
015200,성원
005980,성지건설
000180,성창기업지주
080470,성창오토텍
043260,성호전자
002420,세기상사
053060,세동
042380,세메스
017510,세명전기
214310,세미콘라이트
004360,세방
004365,세방우
004490,세방전지
011560,세보엠이씨
121800,세븐스타웍스
001430,세아베스틸
003030,세아제강
019440,세아특수강
058650,세아홀딩스
013000,세우글로벌
096690,세우테크
100700,세운메디칼
024830,세원물산
091090,세원셀론텍
021820,세원정공
067830,세이브존I&C
033530,세종공업
036630,세종텔레콤
039310,세중
080440,#세진전자
075580,세진중공업
067770,세진티에스
053450,세코닉스
027970,#세하
145210,세화아이엠씨
049180,셀루메드
108860,셀바스AI
208370,셀바스헬스케어
179690,셀인바이오
068270,셀트리온
068760,셀트리온제약
053110,#소리바다
052190,소프트맥스
032680,소프트센
032685,소프트센우
066910,손오공
043100,솔고바이오
070300,솔라시아
154040,솔루에타
035610,솔본
036830,솔브레인
004430,송원산업
086980,쇼박스
050960,수산아이앤티
017550,수산중공업
084180,수성
002200,수출포장
003060,슈넬생명과학
236200,슈프리마
094840,슈프리마에이치큐
192440,슈피겐코리아
099440,스맥
053210,스카이라이프
115570,스타플렉스
087220,스틸플라워
028040,스페로 글로벌
013810,스페코
039670,#스포츠서울
049830,승일
020710,시공테크
033170,시그네틱스
025320,시노펙스
131090,시큐브
016590,신대양제지
029530,신도리코
004970,신라교역
001000,신라섬유
025870,신라에스지
065350,신성델타테크
011930,신성솔라에너지
104120,신성에프에이
104110,신성이엔지
005390,신성통상
004170,신세계
035510,신세계 I&C
034300,신세계건설
031430,신세계인터내셔날
012580,신세계톰보이
031440,신세계푸드
006880,신송홀딩스
056000,신스타임즈
086830,#신양오라컴
002470,신영건설
225590,신영스팩2호
005800,신영와코루
001720,신영증권
001725,신영증권우
009270,신원
009275,신원우
017000,신원종합개발
002700,신일산업
012790,신일제약
138070,신진에스엠
019170,신풍제약
019175,신풍제약우
002870,신풍제지
005450,신한
203650,신한제2호SPAC
055550,신한지주
001770,신화실업
056700,신화인터텍
187270,신화콘텍
004080,신흥
108320,실리콘웍스
222800,심텍
036710,심텍홀딩스
042000,심플렉스인터
160980,싸이맥스
102280,쌍방울
047400,쌍용머티리얼
003410,쌍용양회
003419,쌍용양회3우B
003415,쌍용양회우
010280,쌍용정보통신
003620,쌍용차
004770,써니전자
051170,썬코어
122800,썬텍
208640,썸에이지
222420,쎄노텍
037760,쎄니트
136510,쎄미시스코
099320,쎄트렉아이
049960,쎌바이오텍
096150,쏜다넷
050890,쏠리드
099830,씨그널엔터테인먼트
073710,씨디네트웍스
073960,씨브이네트
066790,씨씨에스
004920,씨아이테크
112610,씨에스윈드
115530,씨엔플러스
225330,씨엠에스에듀
115480,씨유메디칼
096530,씨젠
900120,씨케이에이치
101240,씨큐브
047920,씨트리
060590,씨티씨바이오
036170,씨티엘
013990,아가방컴퍼니
123860,아나패스
008700,아남전자
058220,아리온
002790,아모레G
002795,아모레G우
090430,아모레퍼시픽
090435,아모레퍼시픽우
052710,아모텍
074430,아미노로직스
092040,아미코젠
083930,아바코
149950,아바텍
090370,아비스타
036010,아비코전자
002030,아세아
183190,아세아시멘트
002310,아세아제지
050860,아세아텍
067390,아스트
083570,아시아10호
083580,아시아11호
083590,아시아12호
083600,아시아13호
083610,아시아14호
083620,아시아15호
127710,아시아경제
020560,아시아나항공
143160,아이디스
054800,아이디스홀딩스
060570,아이리버
122900,아이마켓코리아
099190,아이센스
105810,아이스텍
214430,아이쓰리시스템
040910,아이씨디
068940,아이씨케이
052860,#아이앤씨
010780,아이에스동서
069920,아이에스이커머스
038880,아이에이
101390,아이엠
226350,아이엠텍
048500,아이오시스템
078860,아이오케이
114810,아이원스
023430,아이이
031310,아이즈비전
185490,아이진
007630,아이카이스트랩
059100,아이컴포넌트
039570,아이콘트롤스
052460,아이크래프트
119830,아이텍반도체
124500,아이티센
033660,아주캐피탈
032080,아즈텍WB
013310,아진산업
059120,아진엑스텍
056730,아큐픽스
023890,아트라스BX
101140,아티스
067160,아프리카TV
102955,아하정보우
102950,아하정보통신
043720,안국바이오
001540,안국약품
053800,안랩
065660,안트로젠
001780,알루코
002250,알보젠코리아
131370,알서포트
096610,알에프세미
061040,알에프텍
148250,알엔투테크놀로지
196170,알테오젠
123750,알톤스포츠
085810,알티캐스트
117670,알파홀딩스
161000,애경유화
205500,액션스퀘어
052790,액토즈소프트
131400,액트
238090,앤디포스
129050,앤알커뮤니
030960,양지사
102120,어보브반도체
019990,에너토크
011090,에넥스
025980,에머슨퍼시픽
041440,에버다임
010090,에브리데이리
038680,에스넷
121890,에스디시스템
030270,에스마크
097780,에스맥
042110,에스씨디
065420,에스아이리소스
050320,에스아이티글로벌
103230,에스앤더블류
900080,에스앤씨엔진그룹
101490,에스앤에스텍
095910,에스에너지
036500,#에스에스컴텍
031330,에스에이엠티
060540,에스에이티
112240,에스에프씨
056190,에스에프에이
080000,에스엔유
160600,에스엔텍
005850,에스엘
041510,에스엠
007820,에스엠코어
109610,에스와이패널
012750,에스원
096630,에스코넥
114290,에스코어
069510,에스텍
041910,에스텍파마
039440,에스티아이
098660,에스티오
052020,에스티큐브
237690,에스티팜
050760,에스폴리텍
036150,에스피반도체
058610,에스피지
039110,에스피컴텍
043340,에쎈테크
023960,에쓰씨엔지니어링
037890,에어미디어
054630,#에이디칩스
200710,에이디테크놀로지
031860,에이모션
078520,에이블씨엔씨
003800,에이스침대
088800,에이스테크
138360,에이씨티
015260,에이엔피
035290,#에이원앤
072990,에이치시티
028300,에이치엘비
067630,에이치엘비생명과학
226340,에이치엠씨3호스팩
044780,에이치케이
071670,에이테크솔루션
045660,에이텍
224110,에이텍티앤
021080,에이티넘인베스트
089530,#에이티세미콘
182400,에이티젠
073570,#에이티테크놀러지
043580,에임하이
214870,에치디프로
230360,에코마케팅
038870,에코바이오
052510,에코솔루션
102420,에코엘이디
104690,에코텍
086520,에코프로
038110,에코플라스틱
073540,에프알텍
036810,에프에스티
063440,에프엔씨애드컬쳐
173940,에프엔씨엔터
065160,에프티이앤이
054940,엑사이엔씨
950130,엑세스바이오
205100,엑셈
092870,엑시콘
067570,엔브이에이치코리아
036570,엔씨소프트
183560,엔알미광텍
054340,#엔알케이
217820,엔에스
095300,#엔에스브이
138250,엔에스쇼핑
207720,엔에이치SL스팩
198440,엔에이치스팩3호
215790,엔에이치스팩5호
217810,엔에이치스팩7호
218410,엔에이치스팩8호
225570,엔에이치스팩9호
208860,엔지스테크널러지
085310,엔케이
206400,엔터메이트
068420,엔터미디어
069410,엔텔스
048830,엔피케이
096870,엘디티
061970,엘비세미콘
138690,엘아이에스
220260,엘아이지이에스스팩
066970,엘앤에프
229640,엘에스전선아시아
073110,엘엠에스
083310,엘오티베큠
037950,엘컴텍
170920,엘티씨
058630,엠게임
019590,엠벤처투자
008120,엠소닉
097520,엠씨넥스
009780,엠에스씨
123040,엠에스오토텍
032790,엠젠플러스
180400,엠지메드
033160,엠케이전자
069640,엠케이트렌드
206300,엠텍비젼
074000,엠텍비젼에셋
050540,엠피씨
115960,연우
090740,연이정보통신
014440,영보화학
007530,영신금속
143540,영우디에스피
111770,영원무역
009970,영원무역홀딩스
036180,영인프런티어
003520,영진약품
001890,영창뮤직
000670,영풍
036560,영풍정밀
006740,영풍제지
012280,영화금속
012160,영흥철강
036000,예림당
053280,예스24
015360,예스코
122640,예스티
045060,오공
080520,오디텍
007310,오뚜기
039830,오로라
046120,오르비텍
014940,오리엔탈정공
002630,오리엔트바이오
038520,오리엔트전자
065500,오리엔트정공
001800,오리온
010470,오리콤
053980,오상자이엘
052420,오성엘에스티
039200,오스코텍
031510,오스템
048260,오스템임플란트
138080,오이솔루션
080580,오킨스전자
067170,오텍
049480,오픈베이스
196450,온다 엔터테인먼트
057540,옴니시스템
057680,옴니텔
123010,옵토팩
082210,옵트론텍
109080,옵티시스
052770,와이디온라인
010600,와이비로드
057030,와이비엠넷
122990,와이솔
067900,와이엔텍
155650,와이엠씨
066430,#와이오엠
193250,와이제이엠게임즈
019210,와이지-원
122870,와이지엔터테인먼트
079000,와토스코리아
110030,완도전복
900180,완리
070960,용평리조트
114630,우노앤컴퍼니
032820,우리기술
041190,우리기술투자
115440,우리넷
004720,우리들제약
118000,우리들휴브레인
046970,우리로
215360,우리산업
072470,우리산업홀딩스
073560,우리손에프앤지
000030,우리은행
153490,우리이앤엘
082850,우리이티아이
037400,우리조명
010050,우리종금
101170,우림기계
006980,우성사료
194610,우성아이비
066590,우수AMS
068560,우신공업
017370,우신시스템
046940,우원개발
168950,우일음료
052270,#우전
065680,우주일렉트로
105840,우진
018620,우진비앤지
215640,우진이엔지
049800,우진플라임
016880,웅진
095720,웅진씽크빅
103130,웅진에너지
005820,원림
032940,원익
240810,원익IPS
074600,원익QnC
104830,원익머트리얼즈
014190,원익큐브
030530,원익홀딩스
012620,원일특강
008370,원풍
008290,원풍물산
101160,월덱스
095270,웨이브일렉트로
900130,웨이포트
065950,웰크론
114190,웰크론강원
076080,웰크론한텍
196700,웹스
069080,웹젠
053580,웹케시
039790,위노바
044340,위닉스
112040,위메이드
038620,위즈코프
036090,위지트
136540,윈스
097800,윈팩
192390,윈하이텍
008600,윌비스
033270,유나이티드제약
044480,유니더스
014830,유니드
036200,유니셈
018000,유니슨
000910,유니온
011330,유니켐
077500,유니퀘스트
011320,유니크
086390,유니테스트
241690,유니테크노
063180,유니텍
142210,유니트론텍
048430,유라테크
089850,유비벨록스
032620,유비케어
078070,유비쿼스
002920,유성기업
024800,유성티엔에스
000700,유수홀딩스
054930,유신
069330,유아이디
049520,유아이엘
043220,유아이엠엔터
204620,유안타제1호스팩
219960,유안타제2호스팩
003470,유안타증권
003475,유안타증권우
056090,유앤아이
011690,유양디앤유
072130,유엔젤
000220,유유제약
000225,유유제약1우
000227,유유제약2우B
195990,유지인트
023410,유진기업
056080,유진로봇
221200,유진스팩3호
215090,유진에이씨피씨스팩
084370,유진테크
001200,유진투자증권
178780,유테크
000100,유한양행
000105,유한양행우
003460,유화증권
003465,유화증권우
191410,육일씨엔에쓰
008730,율촌화학
044960,이-글 벳
008250,이건산업
039020,이건창호
025820,이구산업
060230,이그잭스
067920,이글루시큐리티
214320,이노션
073490,이노와이어리스
088390,이녹스
053350,이니텍
033110,이디
041520,이라이콤
054210,이랜텍
065440,이루온
139480,이마트
036260,이매진아시아
115610,이미지스
217600,이베스트스팩2호
225440,이베스트스팩3호
078020,이베스트투자증권
080010,이상네트웍스
086890,이수앱지스
007660,이수페타시스
005950,이수화학
015020,이스타코
047560,이스트소프트
900110,이스트아시아홀딩스
067010,이씨에스
093230,이아이디
223310,이에스브이
074610,이엔쓰리
102710,이엔에프테크놀로지
094190,이엘케이
123570,이엠넷
095190,이엠코리아
091120,이엠텍
102460,이연제약
039030,이오테크닉스
088290,이원컴포텍
084680,이월드
033600,이젠텍
035810,이지바이오
090850,이지웰페어
058530,이큐스앤자루
092130,이크레더블
016250,이테크건설
096040,이트론
134060,이퓨쳐
001840,이화공영
000760,이화산업
024810,이화전기
014990,인디에프
041830,인바디
079950,인베니아
060150,인선이엔티
033230,인성정보
040850,인슈넷
006490,인스코비
037330,인지디스플레
023800,인지컨트롤스
034590,인천도시가스
013090,인켈
083640,인콘
049070,인탑스
119610,인터로조
158310,인터불스
017250,인터엠
129260,인터지스
108790,인터파크
035080,인터파크홀딩스
051370,인터플렉스
043540,인터하우스
064290,인텍플러스
189300,인텔리안테크
150840,인트로메딕
048530,인트론바이오
023810,인팩
175140,인포마크
115310,인포바인
039290,인포뱅크
041020,인프라웨어
071200,인피니트헬스케어
101930,인화정공
078940,일경산업개발
249420,일동제약
000230,일동홀딩스
013360,일성건설
013367,일성건설2우B
003120,일성신약
068330,일신바이오
003200,일신방직
007110,일신석재
058450,일야
007570,일양약품
007575,일양약품우
008500,일정실업
019540,일지테크
081000,일진다이아
020760,일진디스플
020150,일진머티리얼즈
103590,일진전기
094820,일진파워
015860,일진홀딩스
001590,일화모직공업
226320,잇츠스킨
950140,잉글우드랩(Reg.S)
049550,잉크테크
043910,자연과환경
046840,자유투어
234920,자이글
140310,자일대우자판
033240,자화전자
174880,장원테크
049630,재영솔루텍
000950,전방
065530,전파기지국
208140,정다운
022220,정산애강
040420,정상제이엘에스
045510,정원엔시스
065620,제낙스
217190,제너셈
095700,제넥신
187420,제노포커스
123330,제닉
159580,제로투세븐
147830,제룡산업
033100,제룡전기
019570,#제미니투자
079370,제우스
054950,제이브이엠
090470,제이스텍
137950,제이씨케미칼
033320,제이씨현시스템
194370,제이에스코퍼레이션
026040,제이에스티나
126880,제이엔케이히터
033050,제이엠아이
094970,제이엠티
058420,제이웨이
025620,제이준
036420,제이콘텐트리
089790,제이티
030000,제일기획
052670,제일바이오
002620,제일약품
001560,제일연마
023440,제일제강
044590,제일테크
038010,제일테크노스
033480,제주국제컨벤
080220,제주반도체
006220,제주은행
089590,제주항공
082270,젬백스
041590,젬백스테크놀러지
044060,조광ILI
004910,조광페인트
004700,조광피혁
001550,조비
000480,조선내화
120030,조선선재
034940,조아제약
101730,#조이맥스
067000,조이시티
018470,조일알미늄
002600,조흥
185750,종근당
063160,종근당바이오
001630,종근당홀딩스
033340,좋은사람들
036930,주성엔지니어링
044380,주연테크
900050,#중국원양자원
189390,중부트레이딩
072020,중앙백신
000440,중앙에너비스
054180,중앙오션
013890,지누스
155960,지디
208350,지란지교시큐리티
114570,지스마트글로벌
051160,지어소프트
037640,지에스엔텍
166220,지에스엘제약
053050,지에스이
119850,지엔씨에너지
065060,지엔코
204840,지엘팜텍
013870,지엠비코리아
018290,지엠피
071320,지역난방공사
033030,지오엠씨
010580,지코
035000,지투알
115450,지트리비앤티
088790,진도
018120,진로발효
109820,진매트릭스
086060,진바이오텍
036890,진성티이씨
003780,진양산업
007370,진양제약
010640,진양폴리
100250,진양홀딩스
051630,진양화학
011000,진원생명과학
002780,진흥기업
002787,진흥기업2우B
002785,진흥기업우B
085660,차바이오텍
900040,차이나그레이트
900090,차이나하오란
009310,참엔지니어링
094850,참좋은레져
004650,창해에탄올
111820,처음앤씨
000650,천일고속
001490,천지산업
096240,청담러닝
013720,청보산업
012600,청호컴넷
033250,체시스
047820,초록뱀
094360,칩스앤미디어
016920,카스
035720,카카오
006380,카프로
071850,캐스텍코리아
066410,캔들미디어
050110,캠시스
078340,컴투스
